0 M,,1 M,,2 M,,3 M,,1,5 M,,1,25 M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
PMT Volts Changed: 4/19/2018 9:57:35 AM, Old:600, New:700
Emission PMT (V): Changed: 4/19/2018 9:57:35 AM, Old: 600, New: 700
PMT Volts Changed: 4/19/2018 9:58:39 AM, Old:700, New:750
Emission PMT (V): Changed: 4/19/2018 9:58:39 AM, Old: 700, New: 750
PMT Volts Changed: 4/19/2018 9:59:27 AM, Old:750, New:730
Emission PMT (V): Changed: 4/19/2018 9:59:27 AM, Old: 750, New: 730
End Method Modifications

1 M,
1 M
Collection Time: 4/19/2018 10:13:36 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   730
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/19/2018 8:07:54 AM
Method Modifications:
Overlayed Graphs Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell Changer Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell2 Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/19/2018 9:56:37 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 350.00, New: 295.00
Emission Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 600.00, New: 450.00
Sample2 Changed: 4/19/2018 9:56:55 AM, Old:Sample2, New:0 M
PMT Volts Changed: 4/19/2018 9:57:35 AM, Old:600, New:700
Emission PMT (V): Changed: 4/19/2018 9:57:35 AM, Old: 600, New: 700
PMT Volts Changed: 4/19/2018 9:58:39 AM, Old:700, New:750
Emission PMT (V): Changed: 4/19/2018 9:58:39 AM, Old: 700, New: 750
PMT Volts Changed: 4/19/2018 9:59:27 AM, Old:750, New:730
Emission PMT (V): Changed: 4/19/2018 9:59:27 AM, Old: 750, New: 730
Sample2 Changed: 4/19/2018 10:13:36 AM, Old:0 M, New:1 M
End Method Modifications

2 M,
2 M
Collection Time: 4/19/2018 10:21:55 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   730
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/19/2018 8:07:54 AM
Method Modifications:
Overlayed Graphs Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell Changer Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell2 Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/19/2018 9:56:37 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 350.00, New: 295.00
Emission Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 600.00, New: 450.00
Sample2 Changed: 4/19/2018 9:56:55 AM, Old:Sample2, New:0 M
PMT Volts Changed: 4/19/2018 9:57:35 AM, Old:600, New:700
Emission PMT (V): Changed: 4/19/2018 9:57:35 AM, Old: 600, New: 700
PMT Volts Changed: 4/19/2018 9:58:39 AM, Old:700, New:750
Emission PMT (V): Changed: 4/19/2018 9:58:39 AM, Old: 700, New: 750
PMT Volts Changed: 4/19/2018 9:59:27 AM, Old:750, New:730
Emission PMT (V): Changed: 4/19/2018 9:59:27 AM, Old: 750, New: 730
Sample2 Changed: 4/19/2018 10:13:36 AM, Old:0 M, New:1 M
Sample2 Changed: 4/19/2018 10:21:55 AM, Old:1 M, New:2 M
End Method Modifications

3 M,
3 M
Collection Time: 4/19/2018 10:29:21 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   730
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/19/2018 8:07:54 AM
Method Modifications:
Overlayed Graphs Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell Changer Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Cell2 Changed: 4/19/2018 9:56:37 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/19/2018 9:56:37 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 350.00, New: 295.00
Emission Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/19/2018 9:56:37 AM, Old: 600.00, New: 450.00
Sample2 Changed: 4/19/2018 9:56:55 AM, Old:Sample2, New:0 M
